num,nftype,ws,wd,slope,mc1,mc10,mc100,mcHerb,mcWoody,Load_1h,Load_10h,Load_100h,Load_Live_Herb,Load_Live_Woody,SA/V_1h,SA/V_Live_Herb,SA/V_Live_Woody,Fuel_Bed_Depth,Mx_dead,HROS,FROS,BROS
2344,101,40,0,50,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,163.55,7.377720095,0.332808033
2348,101,40,0,55,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,164.09,7.388590398,0.332691011
2352,101,40,0,60,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,164.68,7.3995978,0.332487537
2356,101,40,0,65,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,165.31,7.41028401,0.332177782
2360,101,40,0,70,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,166.0,7.423603035,0.331987241
2364,101,40,0,75,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,166.74,7.437024243,0.331710025
2368,101,40,0,80,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,167.53,7.45156737,0.331438287
2372,101,40,0,85,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,168.37,7.466186348,0.331079994
2592,101,45,0,0,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,193.26,7.898382084,0.322800577
2596,101,45,0,5,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,193.28,7.898194919,0.322751878
2600,101,45,0,10,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,193.36,7.900459331,0.32280336
2604,101,45,0,15,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,193.49,7.901752,0.32269205
2608,101,45,0,20,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,193.67,7.905084226,0.322664102
2612,101,45,0,25,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,193.9,7.909448716,0.322637334
2616,101,45,0,30,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,194.18,7.913838004,0.322529776
2620,101,45,0,35,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,194.51,7.919251963,0.322423277
2624,101,45,0,40,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,194.89,7.925685436,0.322317664
2628,101,45,0,45,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,195.33,7.932536028,0.32214779
2632,101,45,0,50,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,195.81,7.939987769,0.321962136
2636,101,45,0,55,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,196.35,7.949846324,0.321874492
2640,101,45,0,60,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,196.93,7.958288641,0.321608481
2644,101,45,0,65,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,197.57,7.9691194,0.321439814
2648,101,45,0,70,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,198.26,7.980922649,0.321270687
2652,101,45,0,75,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,199.0,7.992689045,0.321020493
2656,101,45,0,80,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,199.79,8.005408141,0.320769606
2660,101,45,0,85,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,200.63,8.019068459,0.320517664
5472,102,0,0,0,3,4,5,30,60,0.22,0.0,0.0,2.25,0.0,6562,5906,0,30,15,0.56,0.56,0.56
5476,102,0,0,5,3,4,5,30,60,0.22,0.0,0.0,2.25,0.0,6562,5906,0,30,15,0.61,0.48179815,0.380540093
5480,102,0,0,10,3,4,5,30,60,0.22,0.0,0.0,2.25,0.0,6562,5906,0,30,15,0.76,0.521908694,0.358406164
5484,102,0,0,15,3,4,5,30,60,0.22,0.0,0.0,2.25,0.0,6562,5906,0,30,15,1.01,0.616576894,0.376403036
5488,102,0,0,20,3,4,5,30,60,0.22,0.0,0.0,2.25,0.0,6562,5906,0,30,15,1.36,0.748929332,0.4124229
5492,102,0,0,25,3,4,5,30,60,0.22,0.0,0.0,2.25,0.0,6562,5906,0,30,15,1.82,0.909876378,0.454876386
5496,102,0,0,30,3,4,5,30,60,0.22,0.0,0.0,2.25,0.0,6562,5906,0,30,15,2.37,1.086337734,0.497945009
5500,102,0,0,35,3,4,5,30,60,0.22,0.0,0.0,2.25,0.0,6562,5906,0,30,15,3.03,1.278279348,0.539273297
5504,102,0,0,40,3,4,5,30,60,0.22,0.0,0.0,2.25,0.0,6562,5906,0,30,15,3.79,1.480418986,0.578269228
5508,102,0,0,45,3,4,5,30,60,0.22,0.0,0.0,2.25,0.0,6562,5906,0,30,15,4.65,1.687493395,0.6123944
5512,102,0,0,50,3,4,5,30,60,0.22,0.0,0.0,2.25,0.0,6562,5906,0,30,15,5.61,1.896919054,0.641408538
5516,102,0,0,55,3,4,5,30,60,0.22,0.0,0.0,2.25,0.0,6562,5906,0,30,15,6.67,2.111278588,0.668290446
5520,102,0,0,60,3,4,5,30,60,0.22,0.0,0.0,2.25,0.0,6562,5906,0,30,15,7.83,2.326901238,0.691503113
